Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 24 workers.
Copying objective function to workers...
Done copying objective function to workers.
[Warning: MATLAB has disabled some advanced graphics rendering features by
switching to software OpenGL. For more information, click <a
href="matlab:opengl('problems')">here</a>.] 
|=======================================================================================================================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |  FilterSize1 |  NumFilters1 |  FilterSize2 |  NumFilters2 |   StrideVal1 |   StrideVal2 |  FCLayerSize |      Dropout | InitialLearn-| MiniBatchSize|
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |              |              |              |              | Rate         |              |
|=======================================================================================================================================================================================================================================|
|  121 |      24 | Accept |     0.41667 |      3937.5 |     0.30556 |     0.38226 |            5 |           13 |            6 |           22 |            3 |            3 |           45 |      0.31101 |   6.2784e-06 |           24 |
|  122 |      24 | Accept |         0.5 |      2340.8 |     0.30556 |     0.38211 |            3 |            9 |            4 |           17 |            3 |            1 |           47 |       0.4551 |   0.00027085 |           23 |
|  123 |      24 | Accept |     0.34722 |      4741.4 |     0.30556 |     0.38279 |            7 |           10 |            6 |           16 |            3 |            3 |           46 |      0.28429 |   1.0829e-05 |           24 |
|  124 |      24 | Accept |     0.47222 |        2284 |     0.30556 |     0.38373 |            3 |            9 |            7 |           16 |            3 |            2 |           41 |      0.42865 |   2.6031e-05 |           17 |
|  125 |      24 | Accept |     0.40278 |      5004.2 |     0.30556 |     0.38357 |            7 |           11 |            6 |           30 |            3 |            3 |           43 |      0.26998 |   1.1253e-05 |           24 |
|  126 |      24 | Accept |         0.5 |      3269.3 |     0.30556 |     0.38285 |            4 |            9 |            4 |           19 |            2 |            1 |           32 |      0.20891 |   0.00040828 |           18 |
|  127 |      24 | Accept |     0.38889 |      3688.7 |     0.30556 |      0.3828 |            3 |           10 |            5 |           53 |            3 |            2 |           51 |      0.32108 |    6.748e-06 |           17 |
|  128 |      24 | Accept |     0.44444 |      1513.8 |     0.30556 |     0.38282 |            3 |           11 |            6 |           20 |            3 |            2 |           61 |      0.20275 |   0.00025789 |           19 |
|  129 |      24 | Accept |     0.48611 |      2128.2 |     0.30556 |     0.38211 |            4 |            8 |            4 |           61 |            3 |            1 |           58 |      0.20201 |   0.00015299 |           19 |
|  130 |      24 | Accept |     0.41667 |      3340.2 |     0.30556 |     0.38372 |            3 |            9 |            4 |           20 |            3 |            3 |           55 |      0.48514 |   1.0993e-06 |           22 |
|  131 |      24 | Accept |         0.5 |      2032.8 |     0.30556 |     0.38365 |            4 |            9 |            4 |           16 |            3 |            2 |           48 |      0.47794 |   0.00042534 |           17 |
|  132 |      24 | Accept |         0.5 |      1878.3 |     0.30556 |     0.38407 |            4 |           11 |            6 |           21 |            3 |            3 |           34 |      0.48171 |   0.00041983 |           17 |
|  133 |      24 | Accept |     0.41667 |      4369.1 |     0.30556 |     0.38455 |            3 |           10 |            6 |           54 |            3 |            1 |           44 |      0.20542 |   3.0336e-05 |           24 |
|  134 |      24 | Accept |     0.38889 |      2839.2 |     0.30556 |     0.38602 |            4 |           14 |            6 |           16 |            2 |            1 |           64 |      0.23218 |   4.0065e-05 |           23 |
|  135 |      24 | Accept |       0.375 |      2428.2 |     0.30556 |      0.3858 |            3 |           12 |            3 |           19 |            3 |            3 |           45 |      0.39939 |   8.2232e-05 |           19 |
|  136 |      24 | Accept |     0.44444 |      4834.4 |     0.30556 |     0.38657 |            3 |            8 |            3 |           50 |            3 |            1 |           23 |      0.49664 |   1.3651e-05 |           22 |
|  137 |      24 | Accept |       0.375 |      4240.9 |     0.30556 |     0.38541 |            3 |            9 |            4 |           59 |            3 |            1 |           56 |      0.49827 |   1.3776e-06 |           24 |
|  138 |      24 | Accept |     0.40278 |      3485.7 |     0.30556 |     0.38609 |            3 |           12 |            7 |           19 |            2 |            2 |           26 |      0.49459 |   9.3642e-06 |           19 |
|  139 |      24 | Accept |         0.5 |      4012.4 |     0.30556 |     0.38647 |            4 |           13 |            6 |           20 |            2 |            2 |           54 |      0.20014 |   0.00040175 |           22 |
|  140 |      24 | Accept |     0.43056 |      3095.1 |     0.30556 |     0.38675 |            3 |           15 |            7 |           18 |            2 |            1 |           63 |      0.20817 |   1.3026e-06 |           20 |
|=======================================================================================================================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |  FilterSize1 |  NumFilters1 |  FilterSize2 |  NumFilters2 |   StrideVal1 |   StrideVal2 |  FCLayerSize |      Dropout | InitialLearn-| MiniBatchSize|
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |              |              |              |              | Rate         |              |
|=======================================================================================================================================================================================================================================|
|  141 |      24 | Accept |         0.5 |      1631.7 |     0.30556 |     0.38514 |            3 |           12 |            7 |           20 |            3 |            1 |           23 |      0.34152 |   4.1155e-05 |           21 |
|  142 |      24 | Accept |         0.5 |      5229.7 |     0.30556 |     0.38516 |            4 |           14 |            4 |           20 |            2 |            1 |           28 |      0.37307 |   0.00049691 |           18 |
|  143 |      24 | Accept |     0.40278 |      4810.1 |     0.30556 |     0.38512 |            3 |           14 |            5 |           17 |            2 |            1 |           45 |      0.49593 |     1.95e-06 |           22 |
|  144 |      24 | Accept |     0.47222 |      3740.4 |     0.30556 |      0.3851 |            4 |            9 |            7 |           25 |            3 |            3 |           23 |      0.31943 |   0.00036373 |           19 |
|  145 |      24 | Accept |     0.38889 |      2771.9 |     0.30556 |     0.38501 |            3 |           10 |            3 |           43 |            3 |            2 |           39 |      0.22281 |    1.123e-06 |           19 |
|  146 |      24 | Accept |         0.5 |      2645.4 |     0.30556 |     0.38484 |            4 |            9 |            3 |           17 |            2 |            2 |           54 |       0.2079 |   6.8083e-05 |           20 |
|  147 |      24 | Accept |     0.33333 |      6361.7 |     0.30556 |     0.38544 |            4 |            9 |            6 |           56 |            3 |            3 |           43 |      0.49864 |   1.2821e-06 |           21 |
|  148 |      24 | Accept |         0.5 |      5796.4 |     0.30556 |      0.3866 |            6 |           16 |            5 |           18 |            1 |            1 |           23 |      0.49806 |   0.00033114 |           23 |
|  149 |      24 | Accept |         0.5 |      4092.6 |     0.30556 |     0.38336 |            4 |            9 |            7 |           23 |            2 |            2 |           35 |      0.49566 |    0.0003674 |           19 |
|  150 |      24 | Accept |     0.43056 |      3174.8 |     0.30556 |     0.38314 |            3 |           12 |            5 |           22 |            2 |            1 |           40 |       0.2133 |   6.8438e-06 |           22 |
|  151 |      24 | Accept |     0.36111 |      3285.8 |     0.30556 |     0.38453 |            4 |           10 |            6 |           27 |            3 |            3 |           58 |      0.20571 |   0.00045247 |           18 |
|  152 |      24 | Accept |     0.40278 |      2210.5 |     0.30556 |     0.38455 |            4 |            8 |            3 |           16 |            3 |            3 |           43 |      0.47544 |   7.6049e-06 |           19 |
|  153 |      24 | Accept |     0.40278 |      4147.1 |     0.30556 |     0.38568 |            4 |            8 |            3 |           21 |            2 |            2 |           44 |      0.30815 |   0.00017083 |           16 |
|  154 |      24 | Accept |         0.5 |      5775.8 |     0.30556 |     0.38522 |            6 |           16 |            4 |           21 |            1 |            1 |           29 |      0.20892 |   0.00045053 |           19 |
|  155 |      24 | Accept |     0.41667 |      2526.4 |     0.30556 |     0.38797 |            3 |           16 |            4 |           17 |            2 |            2 |           39 |      0.32901 |   2.6715e-05 |           24 |
|  156 |      24 | Accept |         0.5 |      2992.5 |     0.30556 |     0.38528 |            5 |           10 |            5 |           18 |            2 |            1 |           61 |      0.49792 |   0.00048212 |           19 |
|  157 |      24 | Accept |     0.38889 |      3240.5 |     0.30556 |     0.38532 |            3 |           10 |            4 |           26 |            3 |            1 |           20 |      0.49285 |   1.1934e-06 |           24 |
|  158 |      24 | Accept |     0.54167 |      1755.2 |     0.30556 |     0.38656 |            4 |           10 |            4 |           25 |            3 |            1 |           63 |      0.42277 |    3.476e-05 |           18 |
|  159 |      24 | Accept |       0.375 |        9229 |     0.30556 |      0.3857 |            7 |           10 |            6 |           18 |            1 |            3 |           64 |      0.20092 |   0.00037692 |           19 |
|  160 |      24 | Accept |     0.38889 |      2206.1 |     0.30556 |     0.38768 |            3 |           10 |            4 |           19 |            2 |            1 |           63 |      0.49868 |    1.628e-05 |           23 |
|=======================================================================================================================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |  FilterSize1 |  NumFilters1 |  FilterSize2 |  NumFilters2 |   StrideVal1 |   StrideVal2 |  FCLayerSize |      Dropout | InitialLearn-| MiniBatchSize|
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |              |              |              |              | Rate         |              |
|=======================================================================================================================================================================================================================================|
|  161 |      24 | Accept |     0.45833 |        1794 |     0.30556 |     0.38438 |            3 |            9 |            5 |           19 |            3 |            1 |           38 |      0.22012 |   5.6925e-06 |           23 |
|  162 |      24 | Accept |     0.30556 |      6608.2 |     0.30556 |     0.37969 |            3 |           10 |            4 |           16 |            2 |            2 |           48 |      0.49692 |   1.0051e-06 |           18 |
|  163 |      24 | Accept |     0.40278 |      3711.2 |     0.30556 |      0.3801 |            3 |            8 |            6 |           20 |            3 |            3 |           57 |      0.49757 |   5.0543e-05 |           22 |
|  164 |      24 | Accept |         0.5 |      4899.5 |     0.30556 |     0.37968 |            4 |           11 |            5 |           17 |            2 |            1 |           41 |      0.25482 |   0.00012327 |           17 |
|  165 |      24 | Accept |         0.5 |      1608.2 |     0.30556 |     0.37958 |            3 |            9 |            7 |           21 |            3 |            2 |           64 |      0.33783 |   0.00049665 |           19 |
|  166 |      24 | Accept |     0.41667 |      2173.3 |     0.30556 |     0.38036 |            3 |           12 |            7 |           17 |            3 |            1 |           64 |      0.49201 |   9.2143e-05 |           17 |
|  167 |      24 | Accept |     0.43056 |      2277.2 |     0.30556 |     0.38151 |            3 |           10 |            4 |           35 |            3 |            2 |           61 |      0.23234 |   5.8849e-06 |           22 |
|  168 |      24 | Accept |     0.41667 |      2257.1 |     0.30556 |     0.38146 |            3 |            9 |            3 |           22 |            3 |            1 |           49 |      0.30423 |    1.003e-06 |           23 |
|  169 |      24 | Accept |         0.5 |      7901.9 |     0.30556 |     0.38135 |            5 |           12 |            6 |           16 |            1 |            3 |           39 |      0.47866 |   0.00049461 |           17 |
|  170 |      24 | Accept |     0.41667 |      3600.1 |     0.30556 |      0.3637 |            4 |            9 |            4 |           18 |            2 |            3 |           62 |      0.49065 |   5.3815e-05 |           19 |
|  171 |      24 | Accept |     0.43056 |      4709.8 |     0.30556 |      0.3815 |            3 |           12 |            6 |           24 |            2 |            3 |           18 |      0.21007 |   0.00019961 |           17 |
|  172 |      24 | Accept |     0.38889 |      3013.5 |     0.30556 |     0.38215 |            5 |            9 |            3 |           26 |            3 |            3 |           62 |      0.21717 |    4.905e-06 |           24 |
|  173 |      24 | Accept |     0.34722 |      3665.7 |     0.30556 |     0.35953 |            3 |            8 |            6 |           20 |            3 |            2 |           56 |      0.49606 |   1.2359e-06 |           18 |
|  174 |      24 | Accept |     0.47222 |      7251.8 |     0.30556 |     0.37097 |            4 |           12 |            7 |           31 |            3 |            3 |           29 |      0.48405 |   0.00011191 |           21 |
|  175 |      24 | Accept |     0.38889 |      1434.9 |     0.30556 |     0.37977 |            3 |            9 |            7 |           22 |            3 |            3 |           60 |      0.36773 |   6.5981e-05 |           20 |
|  176 |      24 | Accept |     0.33333 |      2562.1 |     0.30556 |     0.36886 |            4 |            8 |            3 |           19 |            3 |            3 |           34 |       0.4948 |   1.7676e-06 |           17 |
|  177 |      24 | Accept |     0.51389 |      1979.9 |     0.30556 |     0.37031 |            3 |           11 |            4 |           32 |            3 |            2 |           17 |      0.32717 |   1.2237e-06 |           24 |
|  178 |      24 | Accept |     0.44444 |      1572.4 |     0.30556 |     0.37029 |            3 |            8 |            6 |           30 |            3 |            2 |           51 |      0.49703 |   4.0704e-05 |           23 |
|  179 |      24 | Accept |         0.5 |      3191.7 |     0.30556 |     0.36966 |            4 |           11 |            3 |           27 |            3 |            2 |           16 |      0.20753 |   4.9191e-05 |           22 |
|  180 |      24 | Accept |     0.44444 |      1529.8 |     0.30556 |     0.35647 |            3 |           10 |            5 |           16 |            3 |            1 |           57 |      0.27186 |   0.00011815 |           24 |
|=======================================================================================================================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |  FilterSize1 |  NumFilters1 |  FilterSize2 |  NumFilters2 |   StrideVal1 |   StrideVal2 |  FCLayerSize |      Dropout | InitialLearn-| MiniBatchSize|
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |              |              |              |              | Rate         |              |
|=======================================================================================================================================================================================================================================|
|  181 |      24 | Accept |     0.40278 |      5651.7 |     0.30556 |     0.36754 |            6 |            9 |            5 |           18 |            2 |            3 |           61 |      0.48144 |   0.00044393 |           20 |
|  182 |      24 | Accept |     0.34722 |        2600 |     0.30556 |     0.36907 |            5 |           11 |            3 |           18 |            3 |            1 |           59 |      0.42509 |   2.2454e-06 |           22 |
|  183 |      24 | Accept |     0.40278 |      3141.9 |     0.30556 |     0.36864 |            3 |           14 |            5 |           24 |            3 |            1 |           17 |      0.49541 |   3.8441e-06 |           23 |
|  184 |      24 | Accept |     0.45833 |      2314.5 |     0.30556 |     0.37528 |            3 |            9 |            6 |           24 |            3 |            2 |           34 |      0.48438 |   1.0824e-06 |           24 |
|  185 |      24 | Accept |       0.375 |      3426.2 |     0.30556 |     0.38253 |            4 |            9 |            3 |           28 |            3 |            3 |           17 |      0.20307 |     1.34e-06 |           22 |
|  186 |      24 | Accept |     0.43056 |      2495.2 |     0.30556 |     0.38251 |            3 |           14 |            5 |           21 |            3 |            2 |           18 |      0.21341 |   1.6514e-05 |           21 |
|  187 |      24 | Accept |     0.38889 |      1208.4 |     0.30556 |     0.38233 |            3 |            9 |            4 |           20 |            3 |            1 |           39 |      0.40238 |   3.3296e-06 |           23 |
|  188 |      24 | Accept |       0.375 |        2104 |     0.30556 |     0.38309 |            3 |           10 |            7 |           20 |            3 |            3 |           63 |      0.21967 |    3.197e-06 |           19 |
|  189 |      24 | Accept |     0.40278 |      3427.8 |     0.30556 |     0.38273 |            3 |            8 |            6 |           33 |            3 |            2 |           63 |      0.21657 |   1.1211e-06 |           17 |
|  190 |      24 | Accept |     0.44444 |      2881.1 |     0.30556 |     0.38272 |            3 |           11 |            7 |           17 |            3 |            2 |           22 |      0.21667 |   1.6746e-06 |           18 |
|  191 |      24 | Accept |     0.41667 |      1767.2 |     0.30556 |     0.38284 |            3 |            8 |            4 |           20 |            3 |            3 |           19 |      0.35111 |   9.2564e-05 |           17 |
|  192 |      24 | Accept |       0.375 |      1721.4 |     0.30556 |     0.38312 |            3 |            8 |            3 |           22 |            3 |            3 |           26 |      0.41883 |   1.9716e-05 |           23 |
|  193 |      24 | Accept |     0.38889 |      1244.5 |     0.30556 |     0.38302 |            3 |            9 |            3 |           18 |            3 |            1 |           58 |      0.21158 |   4.5208e-06 |           19 |
|  194 |      24 | Accept |       0.375 |      4065.2 |     0.30556 |      0.3831 |            4 |           12 |            6 |           61 |            3 |            3 |           38 |      0.21205 |   1.7334e-05 |           20 |
|  195 |      24 | Accept |     0.47222 |      2836.5 |     0.30556 |     0.38403 |            3 |           10 |            7 |           17 |            3 |            3 |           31 |      0.39681 |     1.92e-06 |           24 |
|  196 |      24 | Accept |     0.41667 |      2273.7 |     0.30556 |     0.38401 |            4 |           13 |            3 |           17 |            3 |            2 |           17 |      0.21705 |   0.00030341 |           21 |
|  197 |      24 | Accept |     0.38889 |      3958.5 |     0.30556 |     0.38396 |            3 |           15 |            3 |           17 |            3 |            3 |           41 |      0.43426 |   4.3158e-06 |           18 |
|  198 |      24 | Accept |       0.375 |      4629.8 |     0.30556 |     0.38355 |            3 |           11 |            5 |           23 |            3 |            2 |           60 |      0.30739 |   1.0164e-06 |           18 |
|  199 |      24 | Accept |     0.48611 |      1297.4 |     0.30556 |     0.38365 |            4 |            8 |            3 |           16 |            3 |            2 |           60 |      0.49925 |    0.0001554 |           16 |
|  200 |      24 | Accept |         0.5 |      9233.1 |     0.30556 |     0.38329 |            7 |           15 |            6 |           19 |            1 |            1 |           27 |      0.24731 |   6.4846e-05 |           21 |

__________________________________________________________
Optimization completed.
MaxObjectiveEvaluations of 200 reached.
Total function evaluations: 200
Total elapsed time: 57511.4878 seconds
Total objective function evaluation time: 849864.3515

Best observed feasible point:
    FilterSize1    NumFilters1    FilterSize2    NumFilters2    StrideVal1    StrideVal2    FCLayerSize    Dropout    InitialLearnRate    MiniBatchSize
    ___________    ___________    ___________    ___________    __________    __________    ___________    _______    ________________    _____________

         6             13              6             21             3             3             34         0.2861        7.1312e-06            24      

Observed objective function value = 0.30556
Estimated objective function value = 0.39835
Function evaluation time = 5554.0839

Best estimated feasible point (according to models):
    FilterSize1    NumFilters1    FilterSize2    NumFilters2    StrideVal1    StrideVal2    FCLayerSize    Dropout    InitialLearnRate    MiniBatchSize
    ___________    ___________    ___________    ___________    __________    __________    ___________    _______    ________________    _____________

         6             16              3             25             3             2             57         0.36391       1.6356e-06            20      

Estimated objective function value = 0.38329
Estimated function evaluation time = 6002.4514

Parallel pool using the 'Processes' profile is shutting down.
