Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 24 workers.
Copying objective function to workers...
Done copying objective function to workers.
[Warning: MATLAB has disabled some advanced graphics rendering features by
switching to software OpenGL. For more information, click <a
href="matlab:opengl('problems')">here</a>.] 
|=======================================================================================================================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |  FilterSize1 |  NumFilters1 |  FilterSize2 |  NumFilters2 |   StrideVal1 |   StrideVal2 |  FCLayerSize |      Dropout | InitialLearn-| MiniBatchSize|
|   30 |      24 | Accept |     0.41667 |      7268.7 |     0.30556 |     0.30557 |            6 |           15 |            6 |           42 |            3 |            3 |           19 |      0.20162 |   5.6914e-05 |           22 |
|   31 |      24 | Accept |     0.40278 |       15646 |     0.30556 |     0.33423 |            5 |           10 |            5 |           56 |            1 |            2 |           30 |      0.33482 |   5.6847e-05 |           20 |
|   32 |      24 | Accept |         0.5 |       12039 |     0.30556 |     0.30557 |            5 |           11 |            4 |           64 |            1 |            2 |           29 |      0.22911 |   3.7576e-06 |           17 |
|   33 |      24 | Accept |     0.34722 |      7586.5 |     0.30556 |     0.33475 |            6 |            9 |            4 |           50 |            3 |            3 |           28 |      0.25417 |    2.909e-06 |           21 |
|   34 |      24 | Accept |         0.5 |      2927.9 |     0.30556 |     0.30557 |            6 |           16 |            7 |           34 |            3 |            1 |           58 |      0.28714 |   0.00036244 |           16 |
|   35 |      24 | Accept |     0.34722 |      3303.4 |     0.30556 |     0.30557 |            7 |            9 |            7 |           28 |            3 |            3 |           22 |      0.20076 |   1.0772e-05 |           19 |
|   36 |      24 | Accept |     0.48611 |      4067.4 |     0.30556 |     0.30557 |            7 |           11 |            7 |           41 |            2 |            3 |           24 |      0.47676 |   2.0772e-05 |           22 |
|   37 |      24 | Accept |     0.36111 |      3377.8 |     0.30556 |     0.30557 |            7 |           13 |            6 |           26 |            2 |            3 |           44 |      0.22918 |   4.2048e-06 |           16 |
|   38 |      24 | Accept |     0.33333 |      8579.4 |     0.30556 |     0.34511 |            7 |           11 |            7 |           17 |            2 |            3 |           17 |      0.25979 |   1.4617e-06 |           18 |
|   39 |      24 | Accept |     0.44444 |      2265.8 |     0.30556 |     0.30556 |            3 |            8 |            6 |           20 |            3 |            3 |           28 |      0.20972 |   3.8199e-06 |           21 |
|   40 |      24 | Accept |     0.45833 |      2981.1 |     0.30556 |     0.34216 |            7 |            8 |            6 |           17 |            3 |            3 |           58 |      0.45789 |   1.5902e-05 |           23 |
|=======================================================================================================================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |  FilterSize1 |  NumFilters1 |  FilterSize2 |  NumFilters2 |   StrideVal1 |   StrideVal2 |  FCLayerSize |      Dropout | InitialLearn-| MiniBatchSize|
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |              |              |              |              | Rate         |              |
|=======================================================================================================================================================================================================================================|
|   41 |      24 | Accept |     0.44444 |       20811 |     0.30556 |     0.30556 |            4 |           15 |            6 |           51 |            1 |            3 |           24 |      0.29443 |   4.5119e-06 |           16 |
|   42 |      24 | Accept |     0.36111 |      3592.3 |     0.30556 |     0.30556 |            5 |           10 |            6 |           16 |            3 |            2 |           59 |      0.33301 |   1.8612e-06 |           24 |
|   43 |      24 | Accept |     0.40278 |      7733.2 |     0.30556 |     0.30556 |            7 |           14 |            6 |           57 |            2 |            3 |           25 |      0.27908 |   1.0466e-06 |           18 |
|   44 |      24 | Accept |     0.36111 |       10418 |     0.30556 |     0.30557 |            7 |            9 |            7 |           46 |            2 |            3 |           40 |      0.22091 |   1.1225e-06 |           21 |
|   45 |      24 | Accept |       0.375 |      4603.9 |     0.30556 |     0.30557 |            7 |            8 |            6 |           16 |            3 |            2 |           29 |      0.27271 |   5.2151e-06 |           17 |
|   46 |      24 | Accept |     0.45833 |        1859 |     0.30556 |     0.33089 |            4 |            8 |            6 |           21 |            3 |            3 |           21 |      0.31645 |   3.6528e-06 |           17 |
|   47 |      24 | Accept |     0.45833 |       16468 |     0.30556 |     0.33311 |            5 |           13 |            5 |           61 |            1 |            2 |           40 |      0.43769 |   3.2821e-06 |           19 |
|   48 |      24 | Accept |     0.45833 |      7072.8 |     0.30556 |     0.30557 |            7 |           15 |            5 |           18 |            3 |            3 |           23 |      0.26316 |   2.8391e-06 |           19 |
|   49 |      24 | Accept |     0.33333 |      2014.9 |     0.30556 |     0.30557 |            3 |            8 |            5 |           17 |            3 |            2 |           52 |      0.30778 |   6.4174e-06 |           16 |
|   50 |      24 | Accept |     0.40278 |      9164.2 |     0.30556 |     0.30557 |            7 |           13 |            6 |           25 |            2 |            3 |           26 |      0.49409 |   3.1572e-06 |           17 |
|   51 |      24 | Accept |     0.41667 |      2605.3 |     0.30556 |     0.30558 |            5 |           15 |            5 |           34 |            3 |            3 |           30 |      0.26429 |   9.5347e-06 |           19 |
|   52 |      24 | Accept |     0.44444 |      7665.8 |     0.30556 |     0.37439 |            6 |           11 |            6 |           19 |            3 |            3 |           22 |      0.27653 |    1.325e-06 |           22 |
|   53 |      24 | Accept |     0.38889 |       16097 |     0.30556 |     0.37182 |            3 |           13 |            4 |           45 |            1 |            2 |           45 |      0.29333 |   0.00014479 |           20 |
|   54 |      24 | Accept |     0.36111 |      5604.4 |     0.30556 |     0.30559 |            6 |           10 |            7 |           19 |            3 |            2 |           27 |      0.27961 |   2.6846e-05 |           17 |
|   55 |      24 | Accept |     0.34722 |      5221.9 |     0.30556 |     0.30558 |            6 |            9 |            6 |           17 |            3 |            3 |           44 |      0.48517 |      3.7e-06 |           21 |
